<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20220717;030000;55.5
USDRUB;D;20220718;030000;56.9926
USDRUB;D;20220719;030000;56.493
USDRUB;D;20220720;030000;54.25
USDRUB;D;20220721;030000;57.9908
USDRUB;D;20220722;030000;57.925
USDRUB;D;20220724;030000;58.1206
USDRUB;D;20220725;030000;58.4864
USDRUB;D;20220726;030000;60.1138
USDRUB;D;20220727;030000;59.3476
USDRUB;D;20220728;030000;61.75
USDRUB;D;20220729;030000;61.5
USDRUB;D;20220731;030000;61.5
USDRUB;D;20220801;030000;60.75
USDRUB;D;20220802;030000;60.7414
USDRUB;D;20220803;030000;62.05
USDRUB;D;20220804;030000;61.8456
USDRUB;D;20220805;030000;60.5349
USDRUB;D;20220807;030000;60.5153
USDRUB;D;20220808;030000;61.125
USDRUB;D;20220809;030000;60.4673
USDRUB;D;20220810;030000;61.5024
USDRUB;D;20220811;030000;60.6188
USDRUB;D;20220812;030000;60.75
USDRUB;D;20220814;030000;61.5011
USDRUB;D;20220815;030000;61.4928
USDRUB;D;20220816;030000;61.4925
USDRUB;D;20220817;030000;60.4849
USDRUB;D;20220818;030000;59.9985
USDRUB;D;20220819;030000;58.75
USDRUB;D;20220821;030000;59.4858
USDRUB;D;20220822;030000;59.9395
USDRUB;D;20220823;030000;59.5
USDRUB;D;20220824;030000;59.8105
USDRUB;D;20220825;030000;60.15
USDRUB;D;20220826;030000;59.55
USDRUB;D;20220828;030000;60.2923
USDRUB;D;20220829;030000;61.75
USDRUB;D;20220830;030000;59.9679
USDRUB;D;20220831;030000;59
USDRUB;D;20220901;030000;59.46
USDRUB;D;20220902;030000;60.2562
USDRUB;D;20220904;030000;60.2988
USDRUB;D;20220905;030000;60.9985
USDRUB;D;20220906;030000;61.2638
USDRUB;D;20220907;030000;60.05
USDRUB;D;20220908;030000;61.4944
USDRUB;D;20220909;030000;59.78
USDRUB;D;20220911;030000;60.0713
USDRUB;D;20220912;030000;59.32
USDRUB;D;20220913;030000;59.4982
USDRUB;D;20220914;030000;59.7118
USDRUB;D;20220915;030000;59.585
USDRUB;D;20220916;030000;59.75
